Abstimmungsbezirk,abgegebene Stimmen,ungültige Stimmen,gültige Stimmen,Stimmen W1,Stimmen W2,Stimmen W3,Stimmen W4,Stimmen W5
1,1166,596,570,8,116,37,195,214
2,697,23,674,24,50,82,242,276
3,581,25,556,19,45,60,222,210
4,721,35,686,24,52,78,245,287
5,743,30,713,26,92,90,277,228
6,614,14,600,35,31,120,131,283
7,670,17,653,51,47,81,166,308
8,684,26,658,65,52,69,196,276
9,657,33,624,81,46,48,134,315
10,658,11,647,45,34,88,117,363
11,632,21,611,42,21,82,96,370
12,591,5,586,25,14,65,107,375
13,560,16,544,21,34,71,125,293
14,402,19,383,21,43,30,165,124
15,750,22,728,28,64,91,128,417
16,557,29,528,29,69,49,143,238
17,709,35,674,53,59,58,174,330
18,646,17,629,24,53,78,120,354
