Abstimmungsbezirk,Stimmberechtigte,abgegebene Stimmen,ungültige Stimmen,gültige Stimmen,Stimmen W1,Stimmen W2,Stimmen W3,Stimmen W13,Stimmen W14,Stimmen W16
1,1248,591,3,588,12,204,68,67,117,120
2,1221,586,2,584,16,189,88,23,112,156
3,1166,525,14,511,20,210,61,20,83,117
4,1226,574,4,570,12,224,55,13,112,154
5,1261,584,10,574,26,263,64,46,75,100
6,1199,579,5,574,24,139,108,13,101,189
7,1288,522,3,519,41,157,48,17,71,185
8,1246,384,3,381,30,158,35,13,43,102
9,1238,553,5,548,74,142,83,10,97,142
10,1282,630,11,619,34,124,89,12,95,265
11,1038,479,4,475,25,73,84,7,72,214
12,1120,493,3,490,23,79,79,6,58,245
13,992,499,6,493,21,135,55,10,86,186
14,1224,461,4,457,25,196,50,15,52,119
15,1232,535,5,530,10,124,72,22,88,214
16,1147,445,1,444,24,138,40,31,84,127
17,1159,609,11,598,38,184,45,28,129,174
18,1167,544,8,536,21,125,71,18,100,201
