Wahlvorschlags Nr.,Listenplatz,Vorname,Familienname,Geburtsname,Beruf
W 1,1,Georg,Beckmann,,Angestellter
W 1,2,Albin,Mann,,Gewerkschaftsbeamter
W 1,3,Christine,Noll,Simon,Hausfrau
W 1,4,Wilhelm,Christ,,Schlosser
W 1,5,Friedrich,Vetters,,Redakteur
W 1,6,Franz,Diener,,Geschäftsführer
W 1,7,Hermann,Schmidt,,Rektor
W 1,8,Heinrich,Häuser,,Parteisekretär
W 1,9,Konrad,Gumbel,,Volkswirt
W 1,10,Josef,Meier,,Sekretär
W 1,11,Paul,Homberger,,Rechtsanwalt
W 1,12,Marie,Reh,Stieglitz,Hausfrau
W 1,13,Christian,Weißbeck,,Trichinenschauer
W 1,14,Heinrich,Baum,,Glasermeister
W 1,15,Helene,Kröck,Spies,Schneiderin
W 1,16,Otto,Ottilie,,Gewerkschaftsangestellter
W 1,17,Theodor,Rühl,,Angestellter
W 1,18,Fritz,Röcker,,Schneider
W 1,19,Jakob,Moutarde,,Buchdrucker
W 1,20,Andreas,Götz,,Dreher
W 1,21,Hermann,Degenhardt,,Buchdrucker
W 1,22,Elisabeth,Seckinger,Horst,Hausfrau
W 1,23,Konrad,Schomber,,Amtsgehilfe
W 1,24,Jakob,Hillgärtner,,Lagerist
W 1,25,Johann,Horst,,Schreiner
W 1,26,Georg,Weippert,,Chauffeur
W 1,27,Heinrich,Hofmann,,Schreiner
W 1,28,Heinrich,Günther,,Verkäufer
W 2,1,Ludwig,Stork,,Maurer
W 2,2,Karl,Gerstenberg,,Händler
W 2,3,Heinrich,Balser,,Arbeiter
W 2,4,Georg,Dönges,,Eisenbahnschlosser
W 2,5,Ellisabeth,Kästner,Riegler,Hausfrau
W 2,6,Hans,Rosenbaum,,Dachdecker
W 2,7,Ludwig,Wissner,,Arbeiter
W 2,8,Karl,Volk,,Arbeiter
W 3,1,Heinrich,Goerz,,Lehrer
W 3,2,Peter,Grode,,Bauoberinspektor
W 3,3,Peter,Schäfer,,Schriftsetzer
W 3,4,Katharine,Wilhelmi,Bremm,Hausfrau
W 3,5,Eduard,Schneider,,Krankenpfleger
W 3,6,Susanne,Sterkel,,Hausangestellte
W 3,7,Eduard,Simmer,,Schneidermeister
W 3,8,Jakob,Keller,,Amtsgerichtsdirektor
W 5,1,Adam,Lotz,,Postbetriebsassistent
W 5,2,Lorenz,Eifert,,Verwaltungssekretär
W 5,3,Adolf,Münker,,Bergingenieur
W 5,4,Heinrich,Kraft,,Former
W 5,5,August,Horn,,Kraftfahrer
W 5,6,Heinrich,Klös,,Bauzeichner
W 5,7,Willy,Wenderoth,,Arbeiter
W 13,1,Martin,Fischer,,Stadtschulrat
W 13,2,Christian,Reiber,,Rentner
W 13,3,Else,Marx,Plank,praktizierende Ärztin
W 13,4,Leopold,Mayer,,Kaufmann
W 13,5,Christian,Spies,,Sattlermeister
