Abstimmungsbezirk,Straßenname
1,Auf der Bach
1,Burggraben
1,Rundsgasse
1,Kirchenplatz
1,Kirchstraße
1,Lindengasse
1,Lindenplatz
1,Marktplatz
1,Marktstraße
1,Walltorstraße
1,Wetzsteingasse
1,Wetzsteinstraße
1,Zozelsgasse
2,Asterweg
2,Dammstraße
2,Ederstraße
2,Im Gartfeld
2,Schillerstraße
3,An der Hardt
3,Bootshausstraße
3,Gleiberger Weg
3,Hinter den Schießgärten
3,Krofdorfer Straße
3,Nordanlage
3,Rodheimer Straße
3,Schlachthofstraße
3,Schottstraße
3,Schützenstraße
3,Zu den Mühlen
4,Am Rodtberg
4,Am Wingert
4,Bückingstraße
4,Friedhofsallee
4,An der Schwarzlach
4,Marburger Straße
4,Steinstraße
4,Wiesecker Weg
4,Wißmarer Weg
5,Am Pfarrgarten
5,Gabelsbergerstraße
5,Hammstraße
5,Kornblumengasse
5,Lahnstraße
5,In Löbers Hof
5,Mühlstraße
5,Kleine Mühlgasse
5,Neustadt
5,Sandgasse
5,Schanzenstraße
5,Tiefenweg
6,An den Bahnhöfen
6,An der Kläranlage
6,An der Margaretenhütte
6,Bahnhofstraße
6,Grabenstraße
6,Westanlage
6,Hinter der Westanlage
7,Buddestraße
7,Frankfurter Straße
7,Friedrichstraße
7,Hollerweg
7,Rodthohl
7,Am Zollstock
8,Am Steg
8,Am Weiher
8,Arndtstraße
8,Beethovenstraße
8,Buchnerstraße
8,Crednerstraße
8,Fichtestraße
8,Freiligrathstraße
8,Gaffkystraße
8,Glaubrechtstraße
8,Händelstraße
8,Haydnstraße
8,Hillebrandstraße
8,Hochweg
8,Hofmannstraße
8,Klinikstraße
8,Körnerstraße
8,Mittelweg
8,Fritz Reuterstraße
8,Schubertstraße
8,Thaerstraße
8,Uhlandstraße
8,Richard-Wagner-Straße
8,Wetzlarer Weg
9,Auf der Weißerde
9,Aulweg
9,Ebelstraße
9,Erdkauter Weg
9,Iheringstraße
9,Leihgesterner Weg mit Bergwerk
9,Liebigstraße
9,Welckerstraße
9,Wilsonstraße
9,Studentensteg
9,Sandkauter Weg
10,Ludwigsplatz
10,Ludwigstraße
10,Am Riegelpfad
10,Wilhelmstraße
10,Wartweg
10,Röntgenstraße
11,Am Nahrungsberg
11,Bergstraße
11,Bruchstraße
11,Gartenstraße
11,Georg-Philipp-Gail-Straße
11,Landmannstraße
11,Löberstraße
11,Stephanstraße
11,Carl-Vogt-Straße
11,Wolfstraße
12,Bleichstraße
12,Gnauthstraße
12,Goethestraße
12,Henselstraße
12,Lessingstraße
12,Lonystraße
13,Alter Schiffenberger Weg
13,Bismarckstraße
13,In den Eichgärten
13,Weichweg
13,Großer Steinweg
13,Gutenbergstraße
13,Hessenstraße
13,Keplerstraße
13,Roonstraße
13,Schiffenberger Weg
13,Gemarkung Schiffenberg mit Herrnwald
14,Am Kugelberg
14,Anneröder Weg
14,Doeringstraße
14,Friedensstraße
14,Grünberger Straße
14,Heyerweg
14,Licher Straße
14,Rödgener Straße mit Flughafen
15,Alter Rödger Weg
15,An der Kaserne
15,Gutfleischstraße
15,Kaiserallee
15,Moltkestraße
15,Ostanlage
15,Wiesenstraße
15,Zeppelinstraße
16,Brandgasse
16,Brandplatz
16,Braugasse
16,Diezstraße
16,Dreihäusergasse
16,Erlengasse
16,Kanzleiberg
16,Kaplaneigasse
16,Landgrafenstraße
16,Landgraf-Philipp-Platz
16,Marktlaubenstraße
16,Neuenbäue
16,Schloßgasse
16,Schulstraße
16,Senckenbergstraße
16,Sonnenstraße
16,Trillergäßchen
16,Wagengasse
16,Weidengasse
17,Kreuzplatz
17,Löwengasse
17,Maigasse
17,Mäusburg
17,Rittergasse
17,Seltersweg
17,Teufelslustgärtchen
17,Wettergasse
17,Wolkengasse
18,Alicenstraße
18,An der Johanneskirche
18,Johannesstraße
18,Kaplansgasse
18,Katharinengasse
18,Neuenweg
18,Plockstraße
18,Südanlage
