Abstimmungsbezirk,abgegebene Stimmen,ungültige Stimmen,gültige Stimmen, Stimmen W1,Stimmen W2,Stimmen W3,Stimmen W5,Stimmen W13,Stimmen W14,Stimmen W17,Stimmen W18
1,669,8,661,218,88,22,14,50,59,27,183
2,692,22,670,215,46,28,27,59,125,40,130
3,676,15,661,293,31,28,22,33,74,33,147
4,651,7,644,244,19,21,17,54,73,58,158
5,666,12,654,299,58,20,16,58,74,38,91
6,695,5,690,198,67,24,31,93,103,53,121
7,558,8,550,145,21,42,31,42,129,61,79
8,561,9,552,195,11,83,12,39,95,56,61
9,712,7,705,197,10,98,31,90,121,55,103
10,727,10,717,147,14,49,42,83,192,86,104
11,705,12,693,154,9,40,27,84,177,63,139
12,524,4,520,100,3,42,21,78,138,53,85
13,586,15,571,123,13,38,23,52,143,67,112
14,689,9,680,403,25,36,22,38,81,30,45
15,676,18,658,167,42,24,38,63,157,63,104
16,538,11,527,186,51,10,18,35,91,28,108
17,684,7,677,235,30,27,26,49,112,42,156
18,589,13,576,147,18,18,17,72,117,62,125
